row_label,column_label,cell_value,cell_label
Monday,Morning,85,85%
Monday,Afternoon,92,92%
Monday,Evening,78,78%
Tuesday,Morning,88,88%
Tuesday,Afternoon,95,95%
Tuesday,Evening,82,82%
Wednesday,Morning,90,90%
Wednesday,Afternoon,89,89%
Wednesday,Evening,76,76%
Thursday,Morning,87,87%
Thursday,Afternoon,93,93%
Thursday,Evening,80,80%
Friday,Morning,91,91%
Friday,Afternoon,88,88%
Friday,Evening,72,72%
Saturday,Morning,65,65%
Saturday,Afternoon,70,70%
Saturday,Evening,68,68%
Sunday,Morning,60,60%
Sunday,Afternoon,63,63%
Sunday,Evening,58,58%
