FLOC_CODE,DESCRIPTION,PARENT_FLOC,EQUIPMENT_COUNT,MAINTENANCE_COST
PLANT-A,Main Plant A,,45,125000
PLANT-A-PROD,Production Area,PLANT-A,28,85000
PLANT-A-PROD-L1,Production Line 1,PLANT-A-PROD,12,35000
PLANT-A-PROD-L1-M1,Machine 1,PLANT-A-PROD-L1,3,12000
PLANT-A-PROD-L1-M2,Machine 2,PLANT-A-PROD-L1,4,15000
PLANT-A-PROD-L1-M3,Machine 3,PLANT-A-PROD-L1,5,8000
PLANT-A-PROD-L2,Production Line 2,PLANT-A-PROD,16,50000
PLANT-A-PROD-L2-M1,Machine 1,PLANT-A-PROD-L2,6,22000
PLANT-A-PROD-L2-M2,Machine 2,PLANT-A-PROD-L2,5,18000
PLANT-A-PROD-L2-M3,Machine 3,PLANT-A-PROD-L2,5,10000
PLANT-A-UTIL,Utilities,PLANT-A,17,40000
PLANT-A-UTIL-PWR,Power Systems,PLANT-A-UTIL,8,25000
PLANT-A-UTIL-PWR-T1,Transformer 1,PLANT-A-UTIL-PWR,2,10000
PLANT-A-UTIL-PWR-T2,Transformer 2,PLANT-A-UTIL-PWR,2,8000
PLANT-A-UTIL-PWR-GEN,Generator,PLANT-A-UTIL-PWR,4,7000
PLANT-A-UTIL-HVAC,HVAC Systems,PLANT-A-UTIL,9,15000
PLANT-A-UTIL-HVAC-AH1,Air Handler 1,PLANT-A-UTIL-HVAC,3,5000
PLANT-A-UTIL-HVAC-AH2,Air Handler 2,PLANT-A-UTIL-HVAC,3,5000
PLANT-A-UTIL-HVAC-CH,Chiller Unit,PLANT-A-UTIL-HVAC,3,5000
PLANT-B,Main Plant B,,38,98000
PLANT-B-PROD,Production Area,PLANT-B,25,72000
PLANT-B-PROD-L1,Production Line 1,PLANT-B-PROD,15,45000
PLANT-B-PROD-L1-M1,Machine 1,PLANT-B-PROD-L1,5,15000
PLANT-B-PROD-L1-M2,Machine 2,PLANT-B-PROD-L1,5,15000
PLANT-B-PROD-L1-M3,Machine 3,PLANT-B-PROD-L1,5,15000
PLANT-B-PROD-L2,Production Line 2,PLANT-B-PROD,10,27000
PLANT-B-PROD-L2-M1,Machine 1,PLANT-B-PROD-L2,5,15000
PLANT-B-PROD-L2-M2,Machine 2,PLANT-B-PROD-L2,5,12000
PLANT-B-UTIL,Utilities,PLANT-B,13,26000
PLANT-B-UTIL-PWR,Power Systems,PLANT-B-UTIL,7,16000
PLANT-B-UTIL-HVAC,HVAC Systems,PLANT-B-UTIL,6,10000
