EQUIPMENT_ID,EQUIPMENT_NAME,FUNCTIONAL_LOCATION,EQUIPMENT_TYPE,MANUFACTURER,MODEL_NUMBER,SERIAL_NUMBER,INSTALL_DATE,WARRANTY_EXPIRY,STATUS,ACQUISITION_COST,CRITICALITY,LAST_MAINTENANCE,NEXT_MAINTENANCE_DUE
EQ-001234,Commercial Fryer #1,FF-NE-001-KIT,FRYER,Pitco,SSH55,PTC-2016-001,2016-03-20,2019-03-20,Operational,8500.00,High,2024-11-15,2025-02-15
EQ-001235,Commercial Fryer #2,FF-NE-001-KIT,FRYER,Pitco,SSH55,PTC-2016-002,2016-03-20,2019-03-20,Operational,8500.00,High,2024-11-15,2025-02-15
EQ-001236,Commercial Griddle,FF-NE-001-KIT,GRIDDLE,Vulcan,MSA36,VUL-2016-003,2016-03-20,2019-03-20,Operational,4200.00,High,2024-10-20,2025-01-20
EQ-001237,Walk-in Cooler Unit,FF-NE-001-COOL,REFRIGERATION,Kolpak,KF7-1008,KOL-2016-004,2016-03-20,2021-03-20,Operational,12500.00,Critical,2024-12-01,2025-03-01
EQ-001238,Ice Machine,FF-NE-001-KIT,ICE_MAKER,Manitowoc,IY-0524A,MAN-2016-005,2016-03-20,2019-03-20,Operational,3200.00,Medium,2024-11-10,2025-02-10
EQ-001239,Soft Serve Machine,FF-NE-001-FOH,SOFT_SERVE,Taylor,C713,TAY-2016-006,2016-03-20,2019-03-20,Down,7800.00,Medium,2024-09-15,2024-12-15
EQ-001240,POS Terminal #1,FF-NE-001-FOH,POS,NCR,7167,NCR-2016-007,2016-03-20,2019-03-20,Operational,2100.00,High,2024-08-20,2025-08-20
EQ-001241,POS Terminal #2,FF-NE-001-FOH,POS,NCR,7167,NCR-2016-008,2016-03-20,2019-03-20,Operational,2100.00,High,2024-08-20,2025-08-20
EQ-001242,Beverage Dispenser,FF-NE-001-FOH,BEVERAGE,Cornelius,ED250,COR-2016-009,2016-03-20,2019-03-20,Operational,1800.00,Medium,2024-10-05,2025-01-05
EQ-002100,Commercial Fryer #1,FF-SE-001-KIT,FRYER,Frymaster,FPRE117,FRY-2016-101,2016-05-10,2019-05-10,Operational,9200.00,High,2024-11-20,2025-02-20
EQ-002101,Commercial Fryer #2,FF-SE-001-KIT,FRYER,Frymaster,FPRE117,FRY-2016-102,2016-05-10,2019-05-10,Operational,9200.00,High,2024-11-20,2025-02-20
EQ-002102,Commercial Griddle,FF-SE-001-KIT,GRIDDLE,Vulcan,MSA48,VUL-2016-103,2016-05-10,2019-05-10,Operational,5100.00,High,2024-10-28,2025-01-28
EQ-002103,Walk-in Cooler Unit,FF-SE-001-STOR,REFRIGERATION,Kolpak,KF7-0808,KOL-2016-104,2016-05-10,2021-05-10,Operational,11200.00,Critical,2024-12-05,2025-03-05
EQ-002104,Ice Machine,FF-SE-001-KIT,ICE_MAKER,Scotsman,C0530MA,SCO-2016-105,2016-05-10,2019-05-10,Maintenance,3600.00,Medium,2024-11-25,2025-02-25
EQ-002105,Soft Serve Machine,FF-SE-001-FOH,SOFT_SERVE,Taylor,C713,TAY-2016-106,2016-05-10,2019-05-10,Operational,7800.00,Medium,2024-10-12,2025-01-12
EQ-002106,POS Terminal #1,FF-SE-001-FOH,POS,NCR,7167,NCR-2016-107,2016-05-10,2019-05-10,Operational,2100.00,High,2024-09-01,2025-09-01
EQ-002107,POS Terminal #2,FF-SE-001-FOH,POS,NCR,7167,NCR-2016-108,2016-05-10,2019-05-10,Operational,2100.00,High,2024-09-01,2025-09-01
EQ-002108,Beverage Dispenser,FF-SE-001-FOH,BEVERAGE,Cornelius,ED250,COR-2016-109,2016-05-10,2019-05-10,Operational,1800.00,Medium,2024-11-01,2025-02-01
EQ-002109,Prep Table Refrigerator,FF-SE-001-KIT,REFRIGERATION,True,TPP-67,TRU-2016-110,2016-05-10,2019-05-10,Operational,2900.00,Medium,2024-10-18,2025-01-18
EQ-003200,Commercial Fryer #1,FF-MW-001-KIT,FRYER,Pitco,SSH75,PTC-2016-201,2016-08-15,2019-08-15,Operational,10200.00,High,2024-11-28,2025-02-28
EQ-003201,Commercial Fryer #2,FF-MW-001-KIT,FRYER,Pitco,SSH75,PTC-2016-202,2016-08-15,2019-08-15,Operational,10200.00,High,2024-11-28,2025-02-28
EQ-003202,Commercial Griddle,FF-MW-001-KIT,GRIDDLE,Vulcan,MSA60,VUL-2016-203,2016-08-15,2019-08-15,Operational,6200.00,High,2024-11-05,2025-02-05
